rank,team,country,score
200,all_in_on_black_n_gold,United States,190226
201,DataBreakers,France,190192
202,ColumbiaU Traders,United States,190174
203,polite_monkey,India,190125
204,Buy_low_sell_high,India,190118
205,IndependentQuant,Netherlands,190092
206,ImagineWinning,Germany,190092
207,Sheep of Wall Street,United States,190081
208,pecel lele,Australia,190073
209,DeepSpaceDelta,Germany,190062
210,John Prosperity,United States,190048
211,HKUSTSomethingSomething,Hong Kong,189998
212,Boiler_Quant,United States,189983
213,Sigmoid,Australia,189957
214,Robert Defares,China,189957
215,Arbland,Netherlands,189909
216,Vanguard,United States,189895
217,Parallax 01,United States,189888
218,Mach7,United States,189814
219,GremlinInc,India,189779
220,IOI,United States,189768
221,animalfarm,United States,189742
222,Adwait,United States,189739
223,SBF,United Kingdom,189735
224,PuliyadiBetko,India,189734
225,Goaterhouse,United Kingdom,189723
226,TinkleTown,Australia,189717
227,Gradient Descent,United States,189712
228,FAHHH,India,189709
229,DARTY,United States,189673
230,ObjectNotFound,United States,189659
231,ARC,United States,189651
232,Darth Trader,Switzerland,189638
233,Alistair,United Kingdom,189619
234,Chambers St Research,United States,189616
235,BlackSwans,Australia,189615
236,UW quants,Poland,189601
237,Bermuda Traders,India,189598
238,FMI_brat,Bulgaria,189592
239,AXin,China,189581
240,Neil Trading,United States,189576
241,Fergus,Canada,189565
242,ELMAMUTDEU,Bangladesh,189552
243,Bermuda Traders ReForge,India,189543
244,Pretentious,India,189520
245,foodio,United States,189517
246,Three Sigma Skibidi,Kazakhstan,189516
247,Jjjjj,Afghanistan,189515
248,Trade Note,India,189494
249,placeholder name,United Kingdom,189440
250,delta_one,India,189431
251,hanan,South Korea,189381
252,Intara-Day Trading,Australia,189335
253,Antigravity,India,189334
254,EFN,Australia,189310
255,Suetta Technologies,Spain,189306
256,Grossman Zhou,United States,189279
257,Orbital Edge,Australia,189211
258,Prop,United Kingdom,189200
259,collegetowncapital,United States,189195
260,Trenkovo Trading,Croatia,189156
261,TheLast1Q,India,189148
262,hissss,India,189084
263,Evil Corp,Netherlands,189083
264,sauce du chef,France,189079
265,the-flash-boys,United Kingdom,189077
266,St Gallen River Trading,Switzerland,189076
267,Real_Loafers,India,189048
268,Live Long and Prosper,United States,189000
269,NoFrequency,Canada,188976
270,all in high card,Australia,188968
271,Berk8,United States,188946
272,Running Out of Theta,United Kingdom,188944
273,Martingale,India,188943
274,BitBites,Switzerland,188938
275,BaggerLab,South Korea,188898
276,SuperVerse,United Kingdom,188893
277,Precision Traders,India,188893
278,High Friction Toes,Poland,188889
279,ExitLiquidity,Netherlands,188881
280,Wo_de_dao_dun,United States,188834
281,OnlyMe,United States,188815
282,Ascend Alpha,India,188782
283,GeniusY,China,188777
284,InQuantsWeTrust,United States,188770
285,Camelot_007,United Kingdom,188757
286,Wave,United States,188757
287,beachedas,Australia,188754
288,4sigma,Germany,188737
289,Arywqn,United States,188721
290,Jobless101,India,188719
291,Margin of Terror,United States,188715
292,SPL,United States,188708
293,Cox-Zucker machine,Netherlands,188703
294,teamuw,Canada,188701
295,Lollipop Trading,Spain,188694
296,Dumbledore Army,India,188690
297,SlimeBallerz,Canada,188684
298,RHS,United Kingdom,188682
299,Quant Ninja,United States,188682
300,caringbah quant traders,Australia,188659
301,Good study - Day up,Germany,188636
302,Capybara LLC,Singapore,188629
303,CU soon,South Korea,188622
304,Pommesdeterre,United States,188621
305,issues xor skill,United Kingdom,188618
306,Fattails,United States,188617
307,No Money No Problems,India,188611
308,MarginCallers,Australia,188605
309,piggassyinshamrock,United States,188601
310,Patu Securities,Italy,188600
311,AkshatLightning,Canada,188582
312,Unhinged Owl,India,188580
313,Prosperous Leaf No 14,India,188579
314,Cucumber,United Kingdom,188577
315,Pondu Warriors,India,188571
316,kaching,Canada,188567
317,Spaceonometrics,Netherlands,188564
318,THE CHINDIAN,United Kingdom,188551
319,HighNumbers,India,188546
320,Bluechip Billikens,United States,188530
321,Y-FoRM,South Korea,188519
322,Piggypiginablanket,United States,188516
323,SALAMANCAS,India,188514
324,MaxingTheCharacterLimit,Switzerland,188508
325,Five Guys,United States,188495
326,Trad3,United Kingdom,188491
327,machau facche,India,188488
328,Homiefans,United States,188485
329,Kleptocrat,Netherlands,188478
330,rice munchers,United States,188477
331,Supermartingales,Finland,188477
332,aimpartnersuiuc,United States,188476
333,GMI,United States,188459
334,Greek Gods,India,188432
335,nahhh,United Kingdom,188420
336,8 Brazillian Bytes,United States,188419
337,We need to pick one tho,United Kingdom,188413
338,Pine S,United States,188407
339,Lakergang FC,United States,188351
340,BogleSupremacist,United States,188349
341,Under Construction,India,188343
342,Rivers of Blood,India,188343
343,--,United Kingdom,188327
344,Gargantua,India,188310
345,Cedi Arbitrage,United States,188305
346,Last Dance,United States,188269
347,Nash Equilibrium,India,188268
348,NMSL,Netherlands,188241
349,Bojja-B,United States,188235
350,GettingSwoleAtDaCrib,United States,188234
351,AlphaFunders,United Kingdom,188233
352,Hugo Hanson,United Kingdom,188229
353,inception,United States,188218
354,ALDC,Australia,188193
355,CMU MSCF Team 1,United States,188176
356,Cosmic minds,United States,188175
357,PYRATES,Spain,188158
358,Black Bucks,India,188158
359,Michigan Edge,United States,188156
360,prosperous,India,188154
361,Baptlarafale,France,188153
362,CornellCSMath,United States,188134
363,Arbitragers,India,188131
364,Skill_issue,India,188125
365,Farrers,Spain,188110
366,Jacks HIGH,India,188096
367,Arcadia,Italy,188093
368,Teamx_7,India,188083
369,Claremont Quant Fund,United States,188081
370,Arsenal,United Kingdom,188059
371,the bum squad,Australia,188058
372,wowzers,Australia,188038
373,Quan t Hold Us,Italy,188037
374,cade and em,United States,188028
375,larp larp sahuuur,United States,188022
376,rare,United States,188016
377,The Casuals,United Kingdom,188015
378,Prosperous Ppls,India,188005
379,tapisar,United States,188001
380,Pocket Queens,United States,187996
381,volmaxxing,United States,187992
382,three ngmis,United States,187991
383,ALPHA3,Canada,187991
384,Perihelion,Netherlands,187990
385,VHP Capital,Germany,187985
386,0dte-theta-decay,United States,187970
387,Yumpy,United States,187959
388,Pilani Research Capital,India,187947
389,BLSY,Australia,187945
390,QuantBro,Spain,187934
391,Experienced traders,United States,187930
392,Gambling Addicts,India,187925
393,leeoseerraW,Spain,187917
394,Solo Bolo,United States,187916
395,Cali Cat,United States,187915
396,Cornball Capital,Somalia,187906
397,sojao bachhon,India,187896
398,Hapjeshoek,Netherlands,187891
399,Alpha Singularity,United Kingdom,187889
400,yc_thirteen,United States,187871
401,sm1le,India,187846
402,2000ge3000,China,187843
403,Cool Cucumbers,Australia,187841
404,Zero EV,United Kingdom,187824
405,The_Abyss,India,187797
406,Mystery Shack LLC,United States,187795
407,galactic_random_walk,United States,187783
408,Sopex,India,187770
409,Markov Gold Chains,Germany,187747
410,Curd Rice,India,187746
411,Peter Hall Warriors,Australia,187731
412,ExBks,Switzerland,187730
413,Illyrian budalla,Germany,187702
414,lesBass,France,187700
415,Panini Maker,France,187699
416,EgglesCake,India,187695
417,Alpha__,India,187693
418,VASS,United States,187692
419,Prosperity4,United States,187685
420,Taiwan Number 1,United States,187676
421,Cybernetic,Netherlands,187666
422,RQR,Australia,187648
423,Xogenous,France,187645
424,Chewbacca,United Kingdom,187634
425,ProsperyTea,Switzerland,187631
426,Pompom,Netherlands,187623
427,Navet,United States,187593
428,Harry,United Kingdom,187593
429,jaytau,India,187571
430,Discovery 91,Italy,187567
431,buy_higher_sell_high,India,187544
432,I am Maximus,France,187541
433,ORA,United Kingdom,187540
434,Four West,United Kingdom,187535
435,UC Davis Ice Hockey,United States,187525
436,Margin Call Alpha,Australia,187525
437,Gangnam Style,United States,187524
438,Martingale Magic,United States,187517
439,Claudius,United States,187514
440,Pina Koala,Hong Kong,187508
441,Motor City Money,United States,187501
442,Utopia,France,187484
443,G00n Securities,United States,187482
444,mop,United Kingdom,187479
445,Deep Dutch,Netherlands,187468
446,Cosmic Arbitragers,Netherlands,187462
447,CacheMeIfYouCan,United Kingdom,187461
448,Jawas,France,187452
449,SEBI,India,187446
450,DragonArbitrage,United States,187434
451,Prometheus,Netherlands,187433
452,Reaching For The Stars,United States,187432
453,Apex Traders,India,187414
454,Golden Model,Switzerland,187404
455,Game Theorists,India,187396
456,ExMachina,Netherlands,187384
457,Camel,India,187380
458,Bos_Indica,India,187376
459,NullProfit,France,187374
460,Lololol,United States,187373
461,OMI,United Kingdom,187351
462,RsR,India,187349
463,BioNexus,India,187332
464,StyrianKFU Quants,Austria,187331
465,BagHolders,New Zealand,187330
466,claypotrice,Canada,187323
467,QuantFire,France,187317
468,Chunc,United States,187314
469,Gamblr,India,187307
470,Peeli Matthi 555,India,187296
471,C-offe-plus_plus,Poland,187292
472,THU,Taiwan,187286
473,Path of Progress,Hong Kong,187284
474,QuarterKelly,Hong Kong,187278
475,Pr0sperous,India,187273
476,NutFlush,United States,187270
477,The mice,United Kingdom,187265
478,Penguin,United States,187261
479,Bocconi DS,Italy,187252
480,_insider_trading,United States,187252
481,PnL maker,France,187246
482,tropicalflavour,United Kingdom,187232
483,Dhurandhars,India,187230
484,Overfit,United States,187228
485,NovaSpirit,United States,187222
486,roadtochamp,United States,187214
487,Alpha Architects,India,187214
488,Last_Stand,India,187207
489,imaginedraggin,Hong Kong,187200
490,SeashellMaxxing,United States,187196
491,Swift Traders,United States,187195
492,Marss Potato,India,187186
493,StarStarStar,China,187183
494,T-O-M,United Kingdom,187183
495,default team name,United States,187183
496,-_- -_-,Israel,187174
497,The Silenceer,Italy,187172
498,The Strawberry Koalas,United States,187169
499,Hailmary004,United States,187162
500,Via Negativa,Australia,187158
501,Here4TheVibes,United States,187155
502,T1,United States,187152
503,AlgoLads,Slovakia,187133
504,wyw,Canada,187131
505,Photon Trading Group,United States,187128
506,ChillTrading,Poland,187124
507,BUENO TRADERS,United Arab Emirates,187114
508,Sun,Australia,187108
509,ZeroAlpha,Netherlands,187108
510,TheBigLevy,Italy,187103
511,Tubercule,United States,187102
512,bt_scenes,India,187089
513,Berlin Overfits,Germany,187087
514,DMVs Finest,United States,187077
515,Red Kings,Hong Kong,187074
516,NJATT,India,187073
517,Atlas Trading,Canada,187058
518,Early Investor,Netherlands,187057
519,EPFL Quant,Switzerland,187047
520,Negative Split,United States,187040
521,human intelligence,Switzerland,187039
522,Yangtze River Trading,United States,187039
523,Anyways,United Kingdom,187039
524,RMK Partners,United States,187034
525,TradingMonkey,United States,187033
526,Interstellar,United Kingdom,187032
527,Thriller,Belgium,187031
528,kevin,United States,187029
529,sn1per,Australia,187028
530,VolumeShifters,Netherlands,187021
531,Alvin Digital,Bulgaria,187013
532,Shove with junk,Australia,187010
533,HEC,France,187002
534,The Bystanders,United States,186997
535,6ix7evenSuited,United States,186989
536,DaBaBanii,Netherlands,186985
537,Crunch Rock,United States,186977
538,EliteHackers,India,186974
539,Pietramelara,Italy,186967
540,nooner,India,186965
541,SAQ,United Kingdom,186963
542,TheVCs,Romania,186960
543,WeLikeMoney,India,186950
544,staraps,Switzerland,186940
545,Polytraders,France,186940
546,Pierpoint CPS Desk,Australia,186939
547,Areach,United States,186935
548,Hanseatic League,Germany,186933
549,Lyon,France,186931
550,Cor Caroli,Germany,186927
551,Tuberosum,United States,186925
552,Peak_Traders,India,186917
553,HP_Sauce,United Kingdom,186916
554,TFTG,Australia,186916
555,Erimonometre,United Kingdom,186912
556,nEvermind,United Kingdom,186911
557,123gogogo,United States,186906
558,TIC Team 2,Netherlands,186905
559,Spice Traders,Australia,186905
560,Band4Band,Switzerland,186904
561,FELIS,Canada,186902
562,AndromedaAlpha,United States,186894
563,Shanibal,United Kingdom,186883
564,Cookies and Cream,Germany,186872
565,team_nyanracingcat,Russian Federation,186868
566,Sith,India,186864
567,Qi E,United States,186862
568,Common Investments,United Kingdom,186843
569,Bum Coders,Japan,186841
570,Lehman Brothers Interns,Germany,186825
571,Best of the rest,India,186823
572,Four Rings,United States,186819
573,LB Traders,India,186816
574,idk the name,Canada,186797
575,Esentai River Trading,Hong Kong,186790
576,THE CRAIG,United States,186787
577,Cartel Business School,United States,186785
578,Harsh Raj,India,186783
579,pennyfisher,India,186782
580,The Matrix Martians,United Kingdom,186780
581,Zuwu,Antarctica,186775
582,bsp,Bulgaria,186767
583,OU traders,India,186764
584,Space Pandas,United States,186763
585,Goobers,United Kingdom,186755
586,kab aaoge mere akhilesh,India,186750
587,asamprosperity,United States,186749
588,PnP,Australia,186745
589,SnackOverflow,India,186738
590,orz,United States,186738
591,FunkyGOD Labs,United States,186737
592,rat_hunters,United States,186736
593,Bhai,Germany,186731
594,alphamaxxing,Australia,186729
595,WETERR,United States,186722
596,Uncle Pennybags,Australia,186722
597,goldmeteor,India,186717
598,ComplexBiomass,India,186717
599,Flow State Traders,United States,186712
600,______,Cyprus,186710
601,Gooberz,United States,186709
602,AK0521,India,186707
603,AAAApex,United States,186707
604,Pete,United States,186707
605,AlphaaX,India,186701
606,FlyingRedBird,Hong Kong,186699
607,avrrop,India,186698
608,Kirkified,United States,186691
609,No stop-loss required,Germany,186684
610,Les Deregleurs,France,186682
611,Variance of Varna,Netherlands,186680
612,Money Money Money,France,186672
613,Stonefeller,Turkey,186666
614,Coastal Elitists,United States,186662
615,BuyHigh SellLow,United States,186656
616,starrynights,Australia,186653
617,DYY,United States,186652
618,XIREC ToTheMoon,Germany,186642
619,Clef Capital,Italy,186641
620,Ctrl C Ctrl Win,India,186639
621,TAMU ASF Quant,United States,186639
622,aion,Germany,186630
623,PANDORA,India,186618
624,huzzzzzzzzzzzzzzzzzzzzz,Australia,186616
625,Darth Traders,Singapore,186613
626,Zlorp,Netherlands,186613
627,FTSOC,Qatar,186613
628,ASW,United States,186611
629,buy peak sell trough,United States,186610
630,We re going Anti-Gareth,United Kingdom,186607
631,Patate Douce,United States,186607
632,gradient exploders,Japan,186606
633,AXE,United States,186605
634,Korrigan Quant,France,186601
635,IMPS,United Kingdom,186588
636,Buy High Sell Lower,Germany,186583
637,Hail_mary26,India,186581
638,GFund,United States,186579
639,adverse selectors,Singapore,186578
640,patatedouce,United States,186575
641,Valse Stream,United Kingdom,186567
642,Magic Mountain,United Kingdom,186563
643,Elan,India,186553
644,Sieve0,Brazil,186549
645,BRCH_LUIS,Italy,186545
646,Heheheha,France,186539
647,What am I doing,Canada,186535
648,sorse,India,186534
649,Lorien,United States,186531
650,FinCur,France,186527
651,Internship Please,Australia,186522
652,pogi,India,186522
653,MudvilleTrading,United States,186520
654,SpaceMeetsCode,India,186515
655,AD,India,186514
656,jane123testing,India,186513
657,Wololo,United States,186508
658,LSE Traders,United Kingdom,186500
659,g34,Kazakhstan,186482
660,Bayesian Ballistics,United States,186482
661,Name,United Kingdom,186481
662,Team Declan,United States,186479
663,Rhino Capital,United Kingdom,186477
664,exploring,India,186476
665,Rocketeers,United Kingdom,186474
666,natural logarithm,Australia,186474
667,Banana farm,United States,186471
668,WolverineQuants,United States,186459
669,purpledice,United States,186459
670,enokela,Nigeria,186457
671,welcometonotts,United Kingdom,186457
672,Chinchilla Burritos,Canada,186457
673,Penn A,United States,186455
674,Jerrys,United States,186455
675,Chandrasekhara,Switzerland,186445
676,DESIGHEE,India,186445
677,Hoosiers,United States,186438
678,hsueyboo,United States,186436
679,argmins,France,186433
680,_314,Italy,186432
681,Just some penguins,India,186431
682,SR,United Kingdom,186419
683,Mugiwara,India,186414
684,Solo Julien,Australia,186411
685,Aurora,India,186410
686,KTH Moon Travellers,Sweden,186408
687,Black Pearl,United States,186405
688,GammaDelta,United States,186397
689,ASU FratLeaders,Italy,186390
690,The Reaver,India,186389
691,Truth,United States,186385
692,Alfonso Alpha,United Kingdom,186377
693,team awesome,Australia,186376
694,Wolf der Bahnhofstrasse,Switzerland,186357
695,360swj,United States,186354
696,PrOZperity,Australia,186348
697,ClaudeCode,Switzerland,186343
698,Elon Musk,United States,186339
699,runwayalpha,France,186336
700,Sugar and plum,India,186324
701,Junk Trading,China,186323
702,CARBONEX,India,186317
703,Stochastic Bulls,Italy,186315
704,BazaarBull,United States,186314
705,IITRPR_Traders,India,186313
706,skunkworks,Antarctica,186295
707,agora,Australia,186292
708,The Prophet,India,186292
709,Speed Traders,United Kingdom,186287
710,Delta Forge,Singapore,186286
711,UWQuant,Poland,186283
712,_L_,India,186278
713,OP Wizz,Canada,186277
714,Order of the Phoenix,United States,186267
715,Backtest Baddies,United States,186260
716,patatino,Italy,186252
717,BigHorns,United States,186250
718,The Kernel Trick,United States,186249
719,Beta Than You,India,186245
720,Gashoks Bocconi,Italy,186242
721,VALRiS,Switzerland,186240
722,One man army,India,186237
723,Team HAM,India,186237
724,Starbound Trading,India,186233
725,tickle monster,United States,186228
726,Nova Capital,United States,186227
727,The Rothschilds,India,186211
728,Trading Goats,United States,186201
729,123Team,France,186198
730,JustBeginners,India,186197
731,prosperidad,Spain,186192
732,Patanii,Netherlands,186188
733,Qubital Trading,United Kingdom,186184
734,FMS,Singapore,186180
735,Wannabe Traders,India,186179
736,Just One More Tick,United States,186176
737,Galactic Vibe Traders,Canada,186173
738,Trade Empire,United States,186166
739,Swag Out,United States,186160
740,HilbertApostles,France,186159
741,Credit_Debit,Singapore,186144
742,Overfitters,India,186140
743,HappyFishies,Australia,186130
744,ShakeWeightAlpha,United States,186129
745,Oooga Booga,United States,186129
746,JumboQuants,United States,186116
747,Edi Dream Team,United Kingdom,186110
748,SigmaTraders,Netherlands,186106
749,All-In-River-Bluff,United Kingdom,186095
750,Quantitative Edge,United States,186091
751,workingtitle,United Kingdom,186083
752,Cookouts,United States,186045
753,Paw Patrol,United States,186041
754,Wolf of Bath Street,United Kingdom,186039
755,Wffl Warriors,United States,186037
756,Quant Larpers,Norway,186036
757,meow_meow,India,186026
758,3 Bits 1 Volt,United Kingdom,186019
759,Hormuz,Swaziland,186018
760,Da Boys,United States,186003
761,The MOGGERS,Australia,185988
762,UM Space Ducks,Netherlands,185984
763,Pacific,India,185983
764,IWD,Germany,185980
765,ITALIAN HUSTLERS,Italy,185955
766,crazycomputingpower,United States,185936
767,Top,Bulgaria,185935
768,Pirates Fishing Net,India,185932
769,LLMer,Hong Kong,185903
770,Heels,United States,185880
771,Neptune,United States,185878
772,Quantpulse,India,185868
773,deets,United States,185866
774,MSFT Capital,United Kingdom,185851
775,1DK,United States,185831
776,3gold1blue,Canada,185826
777,Alphanaut Coders,India,185823
778,3 Sigmas,United Kingdom,185823
779,backtest bandits,Australia,185816
780,hvngl,Germany,185805
781,MR114,Hong Kong,185795
782,delta trading,United States,185791
783,Trademaxxers,Turkey,185787
784,PropserityCo,United Kingdom,185787
785,y5nnik,Germany,185783
786,Noch Nicht Bankrott,Switzerland,185776
787,Quanter,India,185770
788,CHOAM,China,185762
789,Satoru,United States,185760
790,Maverick Capital,India,185760
791,Seine River Trading,France,185746
792,Venera,United States,185744
793,Taki,Sweden,185738
794,McChicken Capital,United States,185725
795,Three Stooges,Australia,185724
796,LITTLE BOY,India,185723
797,NickTheRight,New Zealand,185720
798,Inefficient Markets,United States,185719
799,Traders of the Lost Ark,Ireland,185713
800,Aura Farmers,India,185710
801,RugPullers,United States,185698
802,Venorth,Greece,185694
803,KCL Canary Quants,United Kingdom,185691
804,drunk cigs dont count,Australia,185690
805,PAUL ATREIDES,India,185690
806,DevilQuant A,United States,185688
807,vibecoders,United States,185657
808,Shamrock Capital,United States,185648
809,Black Hole Scholes,United States,185645
810,Mass Techers,United States,185633
811,btrandom,India,185627
812,ChronoPhage,India,185626
813,QuriousQuant,United Kingdom,185599
814,Stockastici,Italy,185597
815,Wickitung,United States,185571
816,Spectral Decomposers,Canada,185563
817,mindless_agent,United States,185544
818,Space Trekkers,India,185533
819,HCQS,United Kingdom,185518
820,John Street,Canada,185517
821,3betbluff,United States,185517
822,sadjb,United States,185507
823,VoidVipers,United States,185491
824,chickenchicken,Hong Kong,185488
825,Simurgh,Italy,185486
826,STEMan Stanley,Hong Kong,185470
827,Wangr,Switzerland,185469
828,SG Trading,France,185442
829,The Grove,United States,185427
830,Elarion,India,185426
831,yassinebeats,Netherlands,185424
832,DHMS Trading Inc,Australia,185423
833,Balasathya,India,185419
834,Point 3 Sigma,United States,185406
835,Azura,United Kingdom,185386
836,GoldmanSnacks,United Kingdom,185354
837,Tonantzintla,India,185352
838,TensorOverflowV3,Singapore,185344
839,GuChy,United States,185334
840,Derivative Equity Inves,United States,185333
841,BenTheBest,Australia,185325
842,Barong_XD,Indonesia,185306
843,Buy the Big Dipper,Australia,185288
844,3alpha,United Kingdom,185272
845,WFreakS,United Kingdom,185266
846,Myriad,Lithuania,185263
847,Jain Street,United States,185261
848,KRWshorts,South Korea,185250
849,The War Room,United States,185242
850,Romantic Rascals,India,185239
851,Isarbitrage,Germany,185221
852,wiggle wops,United States,185220
853,Achilles Capital,United States,185217
854,bobthebuilder,India,185205
855,073,Netherlands,185201
856,AceDiY123,Australia,185198
857,HelloAsia,United States,185192
858,CornellTech,United States,185187
859,frontera estate,United Kingdom,185165
860,Holy Trinity,Australia,185158
861,Viltrum Empire,India,185157
862,Longed BTC at 120K,Australia,185155
863,Mortis Fanclub,Singapore,185153
864,Not last place,Ireland,185134
865,Team Alpha,India,185129
866,YumoEdge,United States,185110
